City,Sum of number of in flights
ABE,296320
ABI,140758
ABQ,1292480
ABY,39576
ACK,5433
ACT,161216
ACV,50576
ACY,27996
ADK,868
ADQ,15195
AEX,109039
AGS,122582
AKN,7152
ALB,663724
AMA,275717
ANC,625832
APF,16959
ATL,27991600
ATW,80915
AUS,1761739
AVL,131401
AVP,139762
AZO,132438
BDL,1447601
BET,24602
BFF,2
BFL,81618
BGM,39702
BGR,175432
BHM,776805
BIL,162011
BIS,69396
BMI,79296
BNA,2081937
BOI,419190
BOS,4946345
BPT,68978
BQK,43119
BQN,17929
BRO,50195
BRW,11450
BTM,22611
BTR,346454
BTV,255891
BUF,981702
BUR,787386
BWI,3343179
BZN,127691
CAE,396243
CAK,267661
CDC,13798
CDV,17559
CEC,10969
CHA,149343
CHO,63007
CHS,448472
CIC,15592
CID,300077
CKB,1457
CLD,24972
CLE,2742794
CLL,155246
CLT,4032739
CMH,1605576
CMI,86102
COD,13868
COS,646369
CPR,49991
CRP,309722
CRW,164215
CSG,51357
CVG,7056347
CWA,2099
CYS,10
DAB,152058
DAL,939197
DAY,598627
DBQ,44436
DCA,3693548
DEN,5123685
DFW,12269405
DHN,52455
DLG,5769
DLH,60871
DRO,23893
DSM,496436
DTW,5494427
DUT,7368
EFD,21738
EGE,83137
EKO,30923
ELM,12426
ELP,786504
ERI,40041
EUG,96810
EVV,188044
EWR,5141059
EYW,61559
FAI,159769
FAR,140918
FAT,343522
FAY,63613
FCA,72640
FLL,2483928
FLO,27986
FMN,14
FNT,205872
FSD,160636
FSM,137041
FWA,232798
GEG,413922
GFK,31994
GGG,80795
GJT,60778
GNV,83100
GPT,206022
GRB,245472
GRK,76163
GRR,659241
GSO,830996
GSP,532439
GST,2041
GTF,96023
GTR,63032
GUC,12799
HDN,42926
HKY,4608
HLN,68120
HNL,902736
HOU,1420993
HPN,350816
HRL,142261
HSV,474094
HTS,26230
HVN,14383
IAD,3167043
IAH,5738197
ICT,509157
IDA,52926
ILE,152077
ILM,143378
IND,1706623
IPL,7763
ISO,7550
ISP,350720
ITH,12201
ITO,47719
IYK,20766
JAC,97784
JAN,449998
JAX,1149282
JFK,2809692
JNU,128645
KOA,148823
KTN,76518
LAN,206230
LAS,4972073
LAW,138891
LAX,7498114
LBB,309574
LCH,38978
LEX,322605
LFT,141270
LGA,4642406
LGB,348035
LIH,140661
LIT,736205
LNK,93318
LNY,25436
LRD,110917
LSE,64862
LWB,6069
LWS,4457
LYH,24738
MAF,249542
MAZ,1174
MBS,182241
MCI,2336136
MCN,45764
MCO,4088581
MDT,371655
MDW,2229075
MEI,49113
MEM,2137752
MFE,178147
MFR,87231
MGM,111183
MHT,690479
MIA,2980808
MIB,564
MKE,920723
MKK,1049
MLB,132079
MLI,151779
MLU,120541
MOB,219770
MOD,20023
MOT,38859
MQT,18587
MRY,171606
MSN,344512
MSO,110615
MSP,5629884
MSY,1886618
MTJ,57776
MYR,237563
OAK,2020876
OGD,28
OGG,343159
OKC,893069
OMA,893068
OME,23098
ONT,1163913
ORD,11462061
ORF,935941
ORH,10759
OTZ,19525
OXR,36567
PBI,1132033
PDX,1989010
PFN,109654
PHF,169928
PHL,4333068
PHX,5834376
PIA,145004
PIE,42402
PIH,28748
PIT,2989188
PNS,314780
PSC,78159
PSE,2174
PSG,12730
PSP,367554
PUB,18
PVD,1074674
PVU,5
PWM,424064
RAP,105134
RDD,30637
RDM,30829
RDR,247
RDU,2254690
RIC,823420
RNO,918066
ROA,142840
ROC,793728
RST,105568
RSW,886999
SAN,2923927
SAT,1606773
SAV,454289
SBA,296451
SBN,137472
SBP,144792
SCC,8679
SCE,34318
SDF,904387
SEA,3975053
SFO,4624899
SGF,296054
SGU,46462
SHV,435429
SIT,35996
SJC,2308039
SJT,127474
SJU,1292575
SLC,4445423
SMF,1422842
SMX,44605
SNA,1774509
SPI,3730
SPS,139484
SRQ,269092
STL,4078627
STT,177426
STX,45650
SUN,41442
SUX,5714
SWF,108063
SYR,590460
TLH,183872
TOL,161130
TPA,2731925
TRI,120073
TUL,901158
TUP,5440
TUS,823572
TVC,114687
TWF,30981
TXK,84608
TYR,177779
TYS,546136
VCT,16055
VIS,6057
VLD,41713
VPS,197332
WRG,14301
WYS,3741
XNA,536093
YAK,14536
YUM,15706
